epoch,total_acc,split_acc,loss,avg_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3,group0_acc,group1_acc,group2_acc,group3_acc,group0_margin,group1_margin,group2_margin,group3_margin
1,0.9057,0.9057,0.0665,1.1737,0.9718,0.9833,0.5125,0.2451,0.9718,0.9833,0.5125,0.2451,1.4700,1.3788,-0.2130,-1.1389
2,0.9290,0.9290,0.0615,1.6225,0.9633,0.9857,0.6933,0.3194,0.9633,0.9857,0.6933,0.3194,1.8946,1.8182,0.3582,-1.0127
3,0.9337,0.9337,0.0600,1.7434,0.9620,0.9878,0.7236,0.3216,0.9620,0.9878,0.7236,0.3216,1.9681,1.9770,0.5238,-1.0062
4,0.9382,0.9382,0.0547,1.8493,0.9621,0.9894,0.7503,0.3252,0.9621,0.9894,0.7503,0.3252,2.0312,2.1244,0.6489,-1.0073
5,0.9410,0.9410,0.0519,1.9424,0.9616,0.9905,0.7692,0.3317,0.9616,0.9905,0.7692,0.3317,2.0810,2.2642,0.7470,-1.0154
6,0.9433,0.9433,0.0502,2.0308,0.9608,0.9913,0.7843,0.3490,0.9608,0.9913,0.7843,0.3490,2.1373,2.3945,0.8185,-1.0043
7,0.9453,0.9453,0.0471,2.1093,0.9608,0.9921,0.7961,0.3504,0.9608,0.9921,0.7961,0.3504,2.2068,2.4954,0.8618,-0.9654
8,0.9467,0.9467,0.0497,2.1540,0.9612,0.9920,0.8047,0.3518,0.9612,0.9920,0.8047,0.3518,2.2372,2.5610,0.8922,-0.9543
9,0.9474,0.9474,0.0479,2.2070,0.9599,0.9930,0.8101,0.3655,0.9599,0.9930,0.8101,0.3655,2.2878,2.6242,0.9248,-0.9320
10,0.9489,0.9489,0.0446,2.2412,0.9606,0.9929,0.8183,0.3742,0.9606,0.9929,0.8183,0.3742,2.3100,2.6714,0.9600,-0.9221
11,0.9496,0.9496,0.0470,2.2746,0.9615,0.9935,0.8185,0.3771,0.9615,0.9935,0.8185,0.3771,2.3435,2.7095,0.9810,-0.9146
12,0.9504,0.9504,0.0449,2.3014,0.9615,0.9935,0.8243,0.3764,0.9615,0.9935,0.8243,0.3764,2.3657,2.7444,0.9997,-0.9066
13,0.9514,0.9514,0.0426,2.3360,0.9618,0.9939,0.8286,0.3879,0.9618,0.9939,0.8286,0.3879,2.4008,2.7827,1.0234,-0.8941
14,0.9519,0.9519,0.0417,2.3477,0.9616,0.9943,0.8319,0.3814,0.9616,0.9943,0.8319,0.3814,2.4072,2.7968,1.0452,-0.8911
15,0.9526,0.9526,0.0409,2.3801,0.9622,0.9944,0.8342,0.3937,0.9622,0.9944,0.8342,0.3937,2.4391,2.8352,1.0642,-0.9048
16,0.9531,0.9531,0.0449,2.4170,0.9618,0.9944,0.8393,0.3879,0.9618,0.9944,0.8393,0.3879,2.4760,2.8752,1.0919,-0.8587
17,0.9538,0.9538,0.0396,2.4108,0.9626,0.9947,0.8399,0.4052,0.9626,0.9947,0.8399,0.4052,2.4557,2.8774,1.1042,-0.8520
18,0.9541,0.9541,0.0399,2.4409,0.9628,0.9945,0.8427,0.3922,0.9628,0.9945,0.8427,0.3922,2.4946,2.9051,1.1165,-0.8719
19,0.9550,0.9550,0.0389,2.4612,0.9634,0.9947,0.8462,0.4052,0.9634,0.9947,0.8462,0.4052,2.5164,2.9258,1.1298,-0.8264
20,0.9556,0.9556,0.0420,2.4834,0.9635,0.9947,0.8497,0.4153,0.9635,0.9947,0.8497,0.4153,2.5313,2.9549,1.1551,-0.8036
21,0.9562,0.9562,0.0402,2.5055,0.9638,0.9951,0.8516,0.4095,0.9638,0.9951,0.8516,0.4095,2.5539,2.9772,1.1757,-0.7950
22,0.9573,0.9573,0.0397,2.5309,0.9649,0.9955,0.8544,0.4211,0.9649,0.9955,0.8544,0.4211,2.5782,3.0054,1.1960,-0.7688
23,0.9574,0.9574,0.0377,2.5429,0.9650,0.9951,0.8566,0.4124,0.9650,0.9951,0.8566,0.4124,2.5889,3.0199,1.2060,-0.7755
24,0.9580,0.9580,0.0384,2.5737,0.9648,0.9954,0.8593,0.4297,0.9648,0.9954,0.8593,0.4297,2.6159,3.0575,1.2285,-0.7456
25,0.9591,0.9591,0.0367,2.5881,0.9664,0.9951,0.8625,0.4326,0.9664,0.9951,0.8625,0.4326,2.6358,3.0647,1.2468,-0.7263
26,0.9606,0.9606,0.0359,2.6293,0.9676,0.9958,0.8670,0.4535,0.9676,0.9958,0.8670,0.4535,2.6671,3.1185,1.2819,-0.6861
27,0.9604,0.9604,0.0335,2.6549,0.9665,0.9958,0.8681,0.4578,0.9665,0.9958,0.8681,0.4578,2.6955,3.1409,1.3083,-0.6626
28,0.9611,0.9611,0.0353,2.6684,0.9675,0.9957,0.8705,0.4593,0.9675,0.9957,0.8705,0.4593,2.7096,3.1555,1.3166,-0.6471
29,0.9618,0.9618,0.0353,2.7093,0.9676,0.9958,0.8740,0.4672,0.9676,0.9958,0.8740,0.4672,2.7487,3.2026,1.3449,-0.6029
30,0.9626,0.9626,0.0340,2.7252,0.9687,0.9957,0.8758,0.4816,0.9687,0.9957,0.8758,0.4816,2.7648,3.2184,1.3590,-0.5591
31,0.9633,0.9633,0.0366,2.7640,0.9688,0.9959,0.8802,0.4766,0.9688,0.9959,0.8802,0.4766,2.7957,3.2681,1.3923,-0.5526
32,0.9644,0.9644,0.0322,2.8064,0.9702,0.9961,0.8819,0.4968,0.9702,0.9961,0.8819,0.4968,2.8459,3.3072,1.4195,-0.4975
33,0.9654,0.9654,0.0331,2.8465,0.9704,0.9962,0.8870,0.5105,0.9704,0.9962,0.8870,0.5105,2.8859,3.3508,1.4501,-0.4721
34,0.9654,0.9654,0.0319,2.8706,0.9703,0.9964,0.8865,0.5198,0.9703,0.9964,0.8865,0.5198,2.9035,3.3756,1.4905,-0.4087
35,0.9671,0.9671,0.0295,2.9127,0.9717,0.9963,0.8940,0.5285,0.9717,0.9963,0.8940,0.5285,2.9462,3.4173,1.5335,-0.3925
36,0.9679,0.9679,0.0301,2.9607,0.9733,0.9964,0.8937,0.5400,0.9733,0.9964,0.8937,0.5400,2.9980,3.4690,1.5577,-0.3276
37,0.9685,0.9685,0.0290,2.9920,0.9733,0.9964,0.8970,0.5602,0.9733,0.9964,0.8970,0.5602,3.0155,3.5082,1.6073,-0.2629
38,0.9697,0.9697,0.0302,3.0475,0.9743,0.9966,0.9015,0.5588,0.9743,0.9966,0.9015,0.5588,3.0726,3.5634,1.6611,-0.2586
39,0.9710,0.9710,0.0266,3.1005,0.9752,0.9971,0.9042,0.5941,0.9752,0.9971,0.9042,0.5941,3.1253,3.6198,1.7019,-0.1438
40,0.9717,0.9717,0.0273,3.1678,0.9760,0.9967,0.9066,0.6157,0.9760,0.9967,0.9066,0.6157,3.1892,3.7051,1.7283,-0.0948
41,0.9729,0.9729,0.0278,3.2138,0.9767,0.9967,0.9124,0.6251,0.9767,0.9967,0.9124,0.6251,3.2237,3.7492,1.8145,-0.0273
42,0.9747,0.9747,0.0256,3.2916,0.9785,0.9968,0.9184,0.6337,0.9785,0.9968,0.9184,0.6337,3.3020,3.8363,1.8663,0.0028
43,0.9751,0.9751,0.0251,3.3673,0.9795,0.9969,0.9175,0.6453,0.9795,0.9969,0.9175,0.6453,3.3851,3.9076,1.9316,0.0826
44,0.9770,0.9770,0.0230,3.4285,0.9807,0.9972,0.9244,0.6828,0.9807,0.9972,0.9244,0.6828,3.4352,3.9807,1.9907,0.1753
45,0.9775,0.9775,0.0237,3.5075,0.9808,0.9971,0.9271,0.6914,0.9808,0.9971,0.9271,0.6914,3.5070,4.0700,2.0625,0.2401
46,0.9790,0.9790,0.0201,3.5740,0.9820,0.9972,0.9335,0.7008,0.9820,0.9972,0.9335,0.7008,3.5778,4.1370,2.1155,0.2895
47,0.9799,0.9799,0.0201,3.6745,0.9834,0.9972,0.9342,0.7159,0.9834,0.9972,0.9342,0.7159,3.6721,4.2439,2.2166,0.3929
48,0.9816,0.9816,0.0205,3.7576,0.9843,0.9978,0.9400,0.7505,0.9843,0.9978,0.9400,0.7505,3.7545,4.3327,2.2850,0.4897
49,0.9824,0.9824,0.0193,3.8419,0.9848,0.9976,0.9442,0.7556,0.9848,0.9976,0.9442,0.7556,3.8365,4.4252,2.3531,0.5571
50,0.9838,0.9838,0.0146,3.9546,0.9862,0.9978,0.9481,0.7693,0.9862,0.9978,0.9481,0.7693,3.9431,4.5537,2.4397,0.6567
51,0.9846,0.9846,0.0169,4.0722,0.9871,0.9979,0.9497,0.7938,0.9871,0.9979,0.9497,0.7938,4.0618,4.6748,2.5465,0.7195
52,0.9857,0.9857,0.0148,4.1569,0.9875,0.9981,0.9545,0.8097,0.9875,0.9981,0.9545,0.8097,4.1278,4.7773,2.6370,0.8298
53,0.9870,0.9870,0.0127,4.2796,0.9890,0.9981,0.9572,0.8363,0.9890,0.9981,0.9572,0.8363,4.2579,4.8979,2.7448,0.9026
54,0.9883,0.9883,0.0117,4.3736,0.9903,0.9984,0.9615,0.8421,0.9903,0.9984,0.9615,0.8421,4.3438,5.0049,2.8269,0.9888
55,0.9894,0.9894,0.0129,4.5256,0.9909,0.9986,0.9655,0.8681,0.9909,0.9986,0.9655,0.8681,4.4847,5.1745,2.9642,1.1132
56,0.9902,0.9902,0.0110,4.6516,0.9917,0.9988,0.9677,0.8731,0.9917,0.9988,0.9677,0.8731,4.6102,5.3104,3.0628,1.2368
57,0.9914,0.9914,0.0112,4.7606,0.9925,0.9988,0.9729,0.8868,0.9925,0.9988,0.9729,0.8868,4.7195,5.4167,3.1816,1.2971
58,0.9913,0.9913,0.0101,4.8873,0.9928,0.9987,0.9709,0.8897,0.9928,0.9987,0.9709,0.8897,4.8398,5.5656,3.2657,1.3815
59,0.9931,0.9931,0.0088,5.0166,0.9941,0.9990,0.9771,0.9149,0.9941,0.9990,0.9771,0.9149,4.9642,5.7034,3.3857,1.5089
60,0.9932,0.9932,0.0091,5.1176,0.9939,0.9990,0.9778,0.9243,0.9939,0.9990,0.9778,0.9243,5.0737,5.8095,3.4494,1.5524
61,0.9942,0.9942,0.0069,5.2582,0.9951,0.9991,0.9817,0.9229,0.9951,0.9991,0.9817,0.9229,5.2058,5.9581,3.5951,1.6612
62,0.9949,0.9949,0.0065,5.3930,0.9956,0.9992,0.9837,0.9308,0.9956,0.9992,0.9837,0.9308,5.3535,6.0972,3.6804,1.7311
63,0.9955,0.9955,0.0061,5.5241,0.9962,0.9993,0.9851,0.9488,0.9962,0.9993,0.9851,0.9488,5.4661,6.2448,3.8213,1.8630
64,0.9959,0.9959,0.0052,5.6386,0.9963,0.9993,0.9870,0.9567,0.9963,0.9993,0.9870,0.9567,5.5804,6.3758,3.8914,1.9293
65,0.9969,0.9969,0.0053,5.7848,0.9976,0.9996,0.9892,0.9640,0.9976,0.9996,0.9892,0.9640,5.7203,6.5301,4.0366,2.0215
66,0.9966,0.9966,0.0042,5.8882,0.9970,0.9996,0.9886,0.9618,0.9970,0.9996,0.9886,0.9618,5.8174,6.6454,4.1273,2.0825
67,0.9973,0.9973,0.0041,6.0089,0.9977,0.9997,0.9914,0.9603,0.9977,0.9997,0.9914,0.9603,5.9479,6.7715,4.2058,2.1380
68,0.9974,0.9974,0.0045,6.0992,0.9978,0.9994,0.9915,0.9704,0.9978,0.9994,0.9915,0.9704,6.0124,6.8932,4.2837,2.2434
69,0.9980,0.9980,0.0038,6.2248,0.9983,0.9997,0.9930,0.9784,0.9983,0.9997,0.9930,0.9784,6.1609,6.9963,4.4059,2.3330
70,0.9979,0.9979,0.0035,6.3588,0.9981,0.9996,0.9939,0.9755,0.9981,0.9996,0.9939,0.9755,6.2907,7.1492,4.5057,2.3404
71,0.9981,0.9981,0.0037,6.4417,0.9984,0.9997,0.9939,0.9740,0.9984,0.9997,0.9939,0.9740,6.3743,7.2359,4.5758,2.4108
72,0.9984,0.9984,0.0031,6.5577,0.9986,0.9997,0.9951,0.9820,0.9986,0.9997,0.9951,0.9820,6.4808,7.3614,4.6961,2.4867
73,0.9981,0.9981,0.0046,6.6491,0.9984,0.9997,0.9937,0.9798,0.9984,0.9997,0.9937,0.9798,6.5910,7.4552,4.7249,2.5226
74,0.9986,0.9986,0.0029,6.7012,0.9989,0.9997,0.9950,0.9863,0.9989,0.9997,0.9950,0.9863,6.6159,7.5274,4.8039,2.5749
75,0.9989,0.9989,0.0020,6.8144,0.9991,0.9999,0.9964,0.9892,0.9991,0.9999,0.9964,0.9892,6.7446,7.6389,4.8726,2.6963
76,0.9991,0.9991,0.0018,6.8921,0.9990,0.9999,0.9975,0.9899,0.9990,0.9999,0.9975,0.9899,6.8098,7.7382,4.9300,2.7164
77,0.9991,0.9991,0.0017,6.9997,0.9992,0.9999,0.9969,0.9885,0.9992,0.9999,0.9969,0.9885,6.9241,7.8421,5.0316,2.7527
78,0.9991,0.9991,0.0019,7.0533,0.9993,0.9999,0.9968,0.9899,0.9993,0.9999,0.9968,0.9899,6.9670,7.9066,5.0853,2.8372
79,0.9993,0.9993,0.0026,7.1518,0.9993,0.9998,0.9981,0.9928,0.9993,0.9998,0.9981,0.9928,7.0835,7.9933,5.1652,2.8715
80,0.9991,0.9991,0.0015,7.2008,0.9993,0.9999,0.9969,0.9877,0.9993,0.9999,0.9969,0.9877,7.1393,8.0384,5.2033,2.9408
81,0.9992,0.9992,0.0019,7.2568,0.9993,0.9999,0.9975,0.9913,0.9993,0.9999,0.9975,0.9913,7.1816,8.1056,5.2743,2.9201
82,0.9993,0.9993,0.0012,7.3513,0.9995,0.9999,0.9975,0.9942,0.9995,0.9999,0.9975,0.9942,7.2770,8.2007,5.3630,3.0323
83,0.9987,0.9987,0.0025,7.3730,0.9988,0.9998,0.9957,0.9913,0.9988,0.9998,0.9957,0.9913,7.2924,8.2483,5.3353,2.9438
84,0.9995,0.9995,0.0011,7.4631,0.9996,0.9999,0.9985,0.9928,0.9996,0.9999,0.9985,0.9928,7.3929,8.3168,5.4554,3.0477
85,0.9992,0.9992,0.0016,7.4894,0.9994,0.9998,0.9969,0.9921,0.9994,0.9998,0.9969,0.9921,7.4300,8.3513,5.4204,3.1282
86,0.9996,0.9996,0.0014,7.5658,0.9997,0.9999,0.9987,0.9942,0.9997,0.9999,0.9987,0.9942,7.4995,8.4353,5.4974,3.1879
87,0.9995,0.9995,0.0012,7.6399,0.9996,0.9999,0.9984,0.9964,0.9996,0.9999,0.9984,0.9964,7.5443,8.5376,5.5877,3.1404
88,0.9996,0.9996,0.0009,7.7026,0.9996,0.9999,0.9989,0.9971,0.9996,0.9999,0.9989,0.9971,7.6424,8.5880,5.5775,3.1781
89,0.9996,0.9996,0.0013,7.7603,0.9997,0.9999,0.9988,0.9964,0.9997,0.9999,0.9988,0.9964,7.6724,8.6610,5.6769,3.2422
90,0.9995,0.9995,0.0010,7.7654,0.9997,0.9999,0.9985,0.9957,0.9997,0.9999,0.9985,0.9957,7.6928,8.6471,5.6860,3.3050
91,0.9995,0.9995,0.0015,7.8269,0.9996,0.9999,0.9985,0.9928,0.9996,0.9999,0.9985,0.9928,7.7532,8.7158,5.7354,3.2781
92,0.9997,0.9997,0.0014,7.8809,0.9998,0.9999,0.9987,0.9971,0.9998,0.9999,0.9987,0.9971,7.7868,8.7883,5.7973,3.3592
93,0.9997,0.9997,0.0007,7.9313,0.9997,0.9999,0.9988,0.9957,0.9997,0.9999,0.9988,0.9957,7.8331,8.8415,5.8555,3.3671
94,0.9997,0.9997,0.0009,7.9915,0.9997,1.0000,0.9990,0.9978,0.9997,1.0000,0.9990,0.9978,7.9214,8.8956,5.8499,3.3485
95,0.9996,0.9996,0.0009,8.0398,0.9997,0.9999,0.9987,0.9964,0.9997,0.9999,0.9987,0.9964,7.9649,8.9572,5.8725,3.4339
96,0.9995,0.9995,0.0009,8.0753,0.9997,0.9999,0.9982,0.9957,0.9997,0.9999,0.9982,0.9957,7.9764,9.0134,5.9257,3.4161
97,0.9997,0.9997,0.0010,8.1272,0.9997,1.0000,0.9990,0.9964,0.9997,1.0000,0.9990,0.9964,8.0333,9.0671,5.9575,3.4501
98,0.9996,0.9996,0.0022,8.1380,0.9996,1.0000,0.9991,0.9942,0.9996,1.0000,0.9991,0.9942,8.0548,9.0707,5.9559,3.4610
99,0.9997,0.9997,0.0007,8.1740,0.9998,1.0000,0.9990,0.9942,0.9998,1.0000,0.9990,0.9942,8.1070,9.0919,5.9825,3.5323
100,0.9998,0.9998,0.0011,8.2251,0.9998,1.0000,0.9992,0.9986,0.9998,1.0000,0.9992,0.9986,8.1292,9.1573,6.0801,3.6195
